POSTCODE, AREA CODE
BR6 7JT, SLE19
BR6 7JU, SLE19
BR6 7JX, SLE19
BR6 7JY, SLE19
BR6 7JZ, SLE19
BR6 7LA, SLE19
BR6 7LG, SLE19
BR6 7LH, SLE19
BR6 7LJ, SLE19
BR6 7LQ, SLE19
TN14 7NQ, SLE2
TN14 7NY, SLE2
TN14 7NZ, SLE2
TN14 7QA, SLE2
TN14 7QB, SLE2
TN14 7QD, SLE2
TN14 7QE, SLE2
TN14 7QF, SLE2
TN14 7QG, SLE2
TN14 7QH, SLE2
TN14 7QJ, SLE2
TN14 7QL, SLE2
TN14 7QN, SLE2
TN14 7QP, SLE2
TN14 7QQ, SLE2
TN14 7QR, SLE2
TN14 7QT, SLE2
TN14 7SF, SLE2
TN16 1ZT, SLE2
TN16 2HL, SLE2
TN16 2HN, SLE2
TN16 2HP, SLE2
TN16 2HR, SLE2
TN16 2HS, SLE2
TN16 2HT, SLE2
TN16 2HU, SLE2
TN16 2HW, SLE2
TN16 2HX, SLE2
TN16 2HY, SLE2
TN16 2JA, SLE2
TN16 2JB, SLE2
TN16 2JD, SLE2
TN16 2JE, SLE2
TN16 2NP, SLE2
TN16 2NS, SLE2
TN16 3AA, SLE2
TN16 3AB, SLE2
TN16 3AD, SLE2
TN16 3AE, SLE2
TN16 3AG, SLE2
TN16 3AH, SLE2
TN16 3AJ, SLE2
TN16 3AL, SLE2
TN16 3AN, SLE2
TN16 3AP, SLE2
TN16 3AR, SLE2
TN16 3AS, SLE2
TN16 3AT, SLE2
TN16 3AU, SLE2
TN16 3AX, SLE2
TN16 3AY, SLE2
TN16 3BA, SLE2
TN16 3BB, SLE2
TN16 3BD, SLE2
TN16 3BF, SLE2
TN16 3BS, SLE2
TN16 3BU, SLE2
TN16 3BX, SLE2
TN16 3BY, SLE2
TN16 3BZ, SLE2
TN16 3DA, SLE2
TN16 3DB, SLE2
TN16 3DD, SLE2
TN16 3DE, SLE2
TN16 3DF, SLE2
TN16 3DG, SLE2
TN16 3DJ, SLE2
TN16 3DL, SLE2
TN16 3DN, SLE2
TN16 3DP, SLE2
TN16 3DQ, SLE2
TN16 3DR, SLE2
TN16 3DS, SLE2
TN16 3DT, SLE2
TN16 3DW, SLE2
TN16 3ED, SLE2
TN16 3EY, SLE2
TN16 3EZ, SLE2
TN16 3FB, SLE2
TN16 3FD, SLE2
TN16 3FE, SLE2
TN16 3FH, SLE2
TN16 3FJ, SLE2
TN16 3FN, SLE2
TN16 3GA, SLE2
TN16 3HE, SLE2
TN16 3HG, SLE2
TN16 3HH, SLE2
TN16 3HJ, SLE2
TN16 3HL, SLE2
TN16 3HN, SLE2
TN16 3HP, SLE2
TN16 3HQ, SLE2
TN16 3HR, SLE2
TN16 3HS, SLE2
TN16 3HT, SLE2
TN16 3HU, SLE2
TN16 3HX, SLE2
TN16 3JA, SLE2
TN16 3JB, SLE2
TN16 3JE, SLE2
TN16 3JG, SLE2
TN16 3JH, SLE2
TN16 3JJ, SLE2
TN16 3JL, SLE2
TN16 3JN, SLE2
TN16 3JP, SLE2
TN16 3JQ, SLE2
TN16 3JR, SLE2
TN16 3JU, SLE2
TN16 3JW, SLE2
TN16 3JY, SLE2
TN16 3JZ, SLE2
TN16 3LA, SLE2
TN16 3LB, SLE2
TN16 3LD, SLE2
TN16 3LE, SLE2
TN16 3LG, SLE2
